symbol,incomeType,income,asset,time,datetime_utc,info
BTCUSDT,COMMISSION,-0.33319484,USDT,1789598708000,2026-09-16T22:45:08+00:00,538357872
SOLUSDT,COMMISSION,-0.3948674,USDT,1789599618000,2026-09-16T23:00:18+00:00,92786059
ETHUSDT,COMMISSION,-0.19748972,USDT,1789600166000,2026-09-16T23:09:26+00:00,327968795
SOLUSDT,REALIZED_PNL,-2.5325,USDT,1789600512000,2026-09-16T23:15:12+00:00,92788047
SOLUSDT,COMMISSION,-0.3958804,USDT,1789600512000,2026-09-16T23:15:12+00:00,92788047
SOLUSDT,COMMISSION,-0.0253994,USDT,1789600517000,2026-09-16T23:15:17+00:00,92788061
SOLUSDT,COMMISSION,-0.16450996,USDT,1789600517000,2026-09-16T23:15:17+00:00,92788062
SOLUSDT,COMMISSION,-0.15977176,USDT,1789600517000,2026-09-16T23:15:17+00:00,92788063
SOLUSDT,COMMISSION,-0.0042944,USDT,1789600517000,2026-09-16T23:15:17+00:00,92788064
SOLUSDT,COMMISSION,-0.04134423,USDT,1789600517000,2026-09-16T23:15:17+00:00,92788065
ETHUSDT,REALIZED_PNL,-5.26124,USDT,1789600856000,2026-09-16T23:20:56+00:00,327972765
ETHUSDT,COMMISSION,-0.39708395,USDT,1789600856000,2026-09-16T23:20:56+00:00,327972765
SOLUSDT,REALIZED_PNL,-7.0026,USDT,1789601006000,2026-09-16T23:23:26+00:00,92789152
SOLUSDT,COMMISSION,-0.3981208,USDT,1789601006000,2026-09-16T23:23:26+00:00,92789152
BTCUSDT,REALIZED_PNL,-4.771,USDT,1789602011000,2026-09-16T23:40:11+00:00,538368486
BTCUSDT,COMMISSION,-0.39568412,USDT,1789602011000,2026-09-16T23:40:11+00:00,538368486
XRPUSDT,COMMISSION,-0.00108763,USDT,1789623920000,2026-09-17T05:45:20+00:00,161865222
XRPUSDT,COMMISSION,-0.00119121,USDT,1789623920000,2026-09-17T05:45:20+00:00,161865223
XRPUSDT,COMMISSION,-0.00108763,USDT,1789623921000,2026-09-17T05:45:21+00:00,161865224
XRPUSDT,COMMISSION,-0.00121711,USDT,1789623921000,2026-09-17T05:45:21+00:00,161865225
XRPUSDT,COMMISSION,-0.19194115,USDT,1789623921000,2026-09-17T05:45:21+00:00,161865226
XRPUSDT,REALIZED_PNL,-5.23641,USDT,1789627512000,2026-09-17T06:45:12+00:00,161884293
XRPUSDT,COMMISSION,-0.39514405,USDT,1789627512000,2026-09-17T06:45:12+00:00,161884293
BTCUSDT,COMMISSION,-0.0213722,USDT,1789641920000,2026-09-17T10:45:20+00:00,538502791
BTCUSDT,COMMISSION,-0.1740308,USDT,1789641922000,2026-09-17T10:45:22+00:00,538502837
BTCUSDT,REALIZED_PNL,-3.4496,USDT,1789647135000,2026-09-17T12:12:15+00:00,538522441
BTCUSDT,COMMISSION,-0.39218585,USDT,1789647135000,2026-09-17T12:12:15+00:00,538522441
BTCUSDT,COMMISSION,-0.39124172,USDT,1789659015000,2026-09-17T15:30:15+00:00,538568871
